concept_text_id,concept_key,language_code,text,text_type,is_primary,source_file,source_sheet,source_row,status,notes
ct_00038,a_little_bit,med,Metsili,word,False,simple-eng-med.xlsx,Sheet1,228,needs_native_review,Médumba translation candidate from source file.
ct_00039,a_lot,en,A lot,phrase,True,simple-eng-med.xlsx,Sheet1,229,auto_extracted_needs_review,English source text.
ct_00040,a_lot,med,Yàme,word,False,simple-eng-med.xlsx,Sheet1,229,needs_native_review,Médumba translation candidate from source file.
ct_00041,it_is_too_much,en,It is too much,phrase,True,simple-eng-med.xlsx,Sheet1,230,auto_extracted_needs_review,English source text.
ct_00042,it_is_too_much,med,A gha' mbu,phrase,False,simple-eng-med.xlsx,Sheet1,230,needs_native_review,Médumba translation candidate from source file.
ct_00043,it_is_too_much,en,It is too much,phrase,True,simple-eng-med.xlsx,Sheet1,231,auto_extracted_needs_review,English source text.
ct_00044,it_is_too_much,med,A ya' nka',phrase,False,simple-eng-med.xlsx,Sheet1,231,needs_native_review,Médumba translation candidate from source file.
ct_00045,it_is_too_much,en,It is too much,phrase,True,simple-eng-med.xlsx,Sheet1,232,auto_extracted_needs_review,English source text.
ct_00046,it_is_too_much,med,A yàm,phrase,False,simple-eng-med.xlsx,Sheet1,232,needs_native_review,Médumba translation candidate from source file.
ct_00047,tell_him,en,Tell him,phrase,True,simple-eng-med.xlsx,Sheet1,233,auto_extracted_needs_review,English source text.
ct_00048,tell_him,med,Tshob yi,phrase,False,simple-eng-med.xlsx,Sheet1,233,needs_native_review,Médumba translation candidate from source file.
ct_00049,kitchen,en,Kitchen,word,True,simple-eng-med.xlsx,Sheet1,234,auto_extracted_needs_review,English source text.
ct_00050,kitchen,med,Kisim,word,False,simple-eng-med.xlsx,Sheet1,234,needs_native_review,Médumba translation candidate from source file.
ct_00051,well_done,en,Well done,phrase,True,simple-eng-med.xlsx,Sheet1,235,auto_extracted_needs_review,English source text.
ct_00052,well_done,med,A bwô,phrase,False,simple-eng-med.xlsx,Sheet1,235,needs_native_review,Médumba translation candidate from source file.
ct_00053,well_done,en,Well done,phrase,True,simple-eng-med.xlsx,Sheet1,236,auto_extracted_needs_review,English source text.
ct_00054,well_done,med,O ghù a bwô,phrase,False,simple-eng-med.xlsx,Sheet1,236,needs_native_review,Médumba translation candidate from source file.
ct_00055,well_done,en,Well done,phrase,True,simple-eng-med.xlsx,Sheet1,237,auto_extracted_needs_review,English source text.
ct_00056,well_done,med,A be mebwô,phrase,False,simple-eng-med.xlsx,Sheet1,237,needs_native_review,Médumba translation candidate from source file.
ct_00057,my_house_is_far,en,My house is far,phrase,True,simple-eng-med.xlsx,Sheet1,239,auto_extracted_needs_review,English source text.
ct_00058,my_house_is_far,med,Yàm ba' be ngùanesa,phrase,False,simple-eng-med.xlsx,Sheet1,239,needs_native_review,Médumba translation candidate from source file.
ct_00059,my_house_is_far,en,My house is far,phrase,True,simple-eng-med.xlsx,Sheet1,240,auto_extracted_needs_review,English source text.
ct_00060,my_house_is_far,med,Yàm ba' sage,phrase,False,simple-eng-med.xlsx,Sheet1,240,needs_native_review,Médumba translation candidate from source file.
ct_00061,let_s_go_to_the_hospital,en,Let’s go to the hospital,phrase,True,simple-eng-med.xlsx,Sheet1,241,auto_extracted_needs_review,English source text.
ct_00062,let_s_go_to_the_hospital,med,Bag wù nèn ndàtshwén,phrase,False,simple-eng-med.xlsx,Sheet1,241,needs_native_review,Médumba translation candidate from source file.
ct_00063,let_s_go_to_the_hospital,en,Let’s go to the hospital,phrase,True,simple-eng-med.xlsx,Sheet1,242,auto_extracted_needs_review,English source text.
ct_00064,let_s_go_to_the_hospital,med,Bag bin nèn ndàtshwén,phrase,False,simple-eng-med.xlsx,Sheet1,242,needs_native_review,Médumba translation candidate from source file.
ct_00065,the_sun_is_rising,en,The sun is rising,phrase,True,simple-eng-med.xlsx,Sheet1,249,auto_extracted_needs_review,English source text.
ct_00066,the_sun_is_rising,med,Nyàm Tshwèt ntume,phrase,False,simple-eng-med.xlsx,Sheet1,249,needs_native_review,Médumba translation candidate from source file.
ct_00067,the_sun_has_already_set,en,The sun has already set,phrase,True,simple-eng-med.xlsx,Sheet1,250,auto_extracted_needs_review,English source text.
ct_00068,the_sun_has_already_set,med,Nyàm yà bi,phrase,False,simple-eng-med.xlsx,Sheet1,250,needs_native_review,Médumba translation candidate from source file.
ct_00069,those_people_talk_very_fast,en,Those people talk very fast,phrase,True,simple-eng-med.xlsx,Sheet1,254,auto_extracted_needs_review,English source text.
ct_00070,those_people_talk_very_fast,med,Tshen benntùn nà num ntshobte njoñ léʼ fa,phrase,False,simple-eng-med.xlsx,Sheet1,254,needs_native_review,Médumba translation candidate from source file.
ct_00071,let_s_go_home_it_s_getting_late,en,Let's go home it's getting late,phrase,True,simple-eng-med.xlsx,Sheet1,256,auto_extracted_needs_review,English source text.
ct_00072,let_s_go_home_it_s_getting_late,med,"Bag bin bène, njù yà sèn.",phrase,False,simple-eng-med.xlsx,Sheet1,256,needs_native_review,Médumba translation candidate from source file.
ct_00073,let_s_go_and_show_the_house,en,Let's go and show the house,phrase,True,simple-eng-med.xlsx,Sheet1,257,auto_extracted_needs_review,English source text.
ct_00074,let_s_go_and_show_the_house,med,Bag bin nèn la'de ba',phrase,False,simple-eng-med.xlsx,Sheet1,257,needs_native_review,Médumba translation candidate from source file.
ct_00075,it_is_small,en,It is small,phrase,True,simple-eng-med.xlsx,Sheet1,258,auto_extracted_needs_review,English source text.
ct_00076,it_is_small,med,A kag neshu,phrase,False,simple-eng-med.xlsx,Sheet1,258,needs_native_review,Médumba translation candidate from source file.
ct_00077,that_rope_is_too_long,en,That rope is too long,phrase,True,simple-eng-med.xlsx,Sheet1,259,auto_extracted_needs_review,English source text.
ct_00078,that_rope_is_too_long,med,Nkù là sag neshu,phrase,False,simple-eng-med.xlsx,Sheet1,259,needs_native_review,Médumba translation candidate from source file.
ct_00079,mother,en,mother,word,True,simple-eng-med.xlsx,Sheet1,260,auto_extracted_needs_review,English source text.
ct_00080,mother,med,mà,word,False,simple-eng-med.xlsx,Sheet1,260,needs_native_review,Médumba translation candidate from source file.
ct_00081,my_mother,en,My mother,phrase,True,simple-eng-med.xlsx,Sheet1,261,auto_extracted_needs_review,English source text.
ct_00082,my_mother,med,mà a,phrase,False,simple-eng-med.xlsx,Sheet1,261,needs_native_review,Médumba translation candidate from source file.
ct_00083,why,en,Why,word,True,simple-eng-med.xlsx,Sheet1,264,auto_extracted_needs_review,English source text.
ct_00084,why,med,Numke,word,False,simple-eng-med.xlsx,Sheet1,264,needs_native_review,Médumba translation candidate from source file.
ct_00085,because,en,Because,word,True,simple-eng-med.xlsx,Sheet1,265,auto_extracted_needs_review,English source text.
ct_00086,because,med,Nummbe,word,False,simple-eng-med.xlsx,Sheet1,265,needs_native_review,Médumba translation candidate from source file.
ct_00087,head,en,Head,word,True,simple-eng-med.xlsx,Sheet1,269,auto_extracted_needs_review,English source text.
ct_00088,head,med,Tu,word,False,simple-eng-med.xlsx,Sheet1,269,needs_native_review,Médumba translation candidate from source file.
ct_00089,ears,en,Ears,word,True,simple-eng-med.xlsx,Sheet1,270,auto_extracted_needs_review,English source text.
ct_00090,ears,med,Ntoñ,word,False,simple-eng-med.xlsx,Sheet1,270,needs_native_review,Médumba translation candidate from source file.
ct_00091,the_eyes,en,The eyes,phrase,True,simple-eng-med.xlsx,Sheet1,271,auto_extracted_needs_review,English source text.
ct_00092,the_eyes,med,Miag,word,False,simple-eng-med.xlsx,Sheet1,271,needs_native_review,Médumba translation candidate from source file.
ct_00093,hand,en,Hand,word,True,simple-eng-med.xlsx,Sheet1,272,auto_extracted_needs_review,English source text.
ct_00094,hand,med,Bu,word,False,simple-eng-med.xlsx,Sheet1,272,needs_native_review,Médumba translation candidate from source file.
ct_00095,mouth,en,MOUTH,word,True,simple-eng-med.xlsx,Sheet1,273,auto_extracted_needs_review,English source text.
ct_00096,mouth,med,NTSHU,word,False,simple-eng-med.xlsx,Sheet1,273,needs_native_review,Médumba translation candidate from source file.
ct_00097,the_mouth,en,The mouth,phrase,True,simple-eng-med.xlsx,Sheet1,274,auto_extracted_needs_review,English source text.
ct_00098,the_mouth,med,ntshu,word,False,simple-eng-med.xlsx,Sheet1,274,needs_native_review,Médumba translation candidate from source file.
ct_00099,the_tongue,en,The tongue,phrase,True,simple-eng-med.xlsx,Sheet1,275,auto_extracted_needs_review,English source text.
ct_00100,the_tongue,med,Lem,word,False,simple-eng-med.xlsx,Sheet1,275,needs_native_review,Médumba translation candidate from source file.
ct_00101,the_legs,en,The legs,phrase,True,simple-eng-med.xlsx,Sheet1,276,auto_extracted_needs_review,English source text.
ct_00102,the_legs,med,kù,word,False,simple-eng-med.xlsx,Sheet1,276,needs_native_review,Médumba translation candidate from source file.
ct_00103,belly,en,Belly,word,True,simple-eng-med.xlsx,Sheet1,277,auto_extracted_needs_review,English source text.
ct_00104,belly,med,Bàm,word,False,simple-eng-med.xlsx,Sheet1,277,needs_native_review,Médumba translation candidate from source file.
ct_00105,who,en,Who,word,True,simple-eng-med.xlsx,Sheet1,278,auto_extracted_needs_review,English source text.
ct_00106,who,med,We,word,False,simple-eng-med.xlsx,Sheet1,278,needs_native_review,Médumba translation candidate from source file.
ct_00107,who_is_it,en,Who is it?,phrase,True,simple-eng-med.xlsx,Sheet1,279,auto_extracted_needs_review,English source text.
ct_00108,who_is_it,med,A we?,phrase,False,simple-eng-med.xlsx,Sheet1,279,needs_native_review,Médumba translation candidate from source file.
ct_00109,who_is_it,en,Who is it?,phrase,True,simple-eng-med.xlsx,Sheet1,280,auto_extracted_needs_review,English source text.
ct_00110,who_is_it,med,A bʼa we?,phrase,False,simple-eng-med.xlsx,Sheet1,280,needs_native_review,Médumba translation candidate from source file.
ct_00111,what_is_it,en,What is it?,phrase,True,simple-eng-med.xlsx,Sheet1,283,auto_extracted_needs_review,English source text.
ct_00112,what_is_it,med,A bʼa ke?,phrase,False,simple-eng-med.xlsx,Sheet1,283,needs_native_review,Médumba translation candidate from source file.
ct_00113,what_is_it,en,What is it?,phrase,True,simple-eng-med.xlsx,Sheet1,284,auto_extracted_needs_review,English source text.
ct_00114,what_is_it,med,A ke?,phrase,False,simple-eng-med.xlsx,Sheet1,284,needs_native_review,Médumba translation candidate from source file.
ct_00115,cloth,en,Cloth,word,True,simple-eng-med.xlsx,Sheet1,286,auto_extracted_needs_review,English source text.
ct_00116,cloth,med,Nzwe,word,False,simple-eng-med.xlsx,Sheet1,286,needs_native_review,Médumba translation candidate from source file.
ct_00117,water,en,Water,word,True,simple-eng-med.xlsx,Sheet1,287,auto_extracted_needs_review,English source text.
ct_00118,water,med,Ntse,word,False,simple-eng-med.xlsx,Sheet1,287,needs_native_review,Médumba translation candidate from source file.
ct_00119,drink_water,en,Drink water,phrase,True,simple-eng-med.xlsx,Sheet1,288,auto_extracted_needs_review,English source text.
ct_00120,drink_water,med,Nu ntse,phrase,False,simple-eng-med.xlsx,Sheet1,288,needs_native_review,Médumba translation candidate from source file.
ct_00121,a_dog,en,A dog,phrase,True,simple-eng-med.xlsx,Sheet1,289,auto_extracted_needs_review,English source text.
ct_00122,a_dog,med,mbu,word,False,simple-eng-med.xlsx,Sheet1,289,needs_native_review,Médumba translation candidate from source file.
ct_00123,come,en,Come,word,True,simple-eng-med.xlsx,Sheet1,290,auto_extracted_needs_review,English source text.
ct_00124,come,med,Se',word,False,simple-eng-med.xlsx,Sheet1,290,needs_native_review,Médumba translation candidate from source file.
ct_00125,a_snake,en,A snake,phrase,True,simple-eng-med.xlsx,Sheet1,291,auto_extracted_needs_review,English source text.
ct_00126,a_snake,med,Nyu,word,False,simple-eng-med.xlsx,Sheet1,291,needs_native_review,Médumba translation candidate from source file.
ct_00127,give_me,en,Give me,phrase,True,simple-eng-med.xlsx,Sheet1,292,auto_extracted_needs_review,English source text.
ct_00128,give_me,med,Fâ me,phrase,False,simple-eng-med.xlsx,Sheet1,292,needs_native_review,Médumba translation candidate from source file.
ct_00129,leave_from_there,en,Leave from there,phrase,True,simple-eng-med.xlsx,Sheet1,293,auto_extracted_needs_review,English source text.
ct_00130,leave_from_there,med,Lo nza,phrase,False,simple-eng-med.xlsx,Sheet1,293,needs_native_review,Médumba translation candidate from source file.
ct_00131,laugh,en,Laugh,word,True,simple-eng-med.xlsx,Sheet1,294,auto_extracted_needs_review,English source text.
ct_00132,laugh,med,Zwi,word,False,simple-eng-med.xlsx,Sheet1,294,needs_native_review,Médumba translation candidate from source file.
ct_00133,cry,en,Cry,word,True,simple-eng-med.xlsx,Sheet1,295,auto_extracted_needs_review,English source text.
ct_00134,cry,med,Kuà'a,word,False,simple-eng-med.xlsx,Sheet1,295,needs_native_review,Médumba translation candidate from source file.
ct_00135,the_mouse,en,The mouse,phrase,True,simple-eng-med.xlsx,Sheet1,296,auto_extracted_needs_review,English source text.
ct_00136,the_mouse,med,Tiku,word,False,simple-eng-med.xlsx,Sheet1,296,needs_native_review,Médumba translation candidate from source file.
ct_00137,shut_up,en,Shut up,phrase,True,simple-eng-med.xlsx,Sheet1,297,auto_extracted_needs_review,English source text.
ct_00138,shut_up,med,Mùm ntshu o,phrase,False,simple-eng-med.xlsx,Sheet1,297,needs_native_review,Médumba translation candidate from source file.
ct_00139,the_cat,en,The cat,phrase,True,simple-eng-med.xlsx,Sheet1,298,auto_extracted_needs_review,English source text.
ct_00140,the_cat,med,Bù si,phrase,False,simple-eng-med.xlsx,Sheet1,298,needs_native_review,Médumba translation candidate from source file.
ct_00141,father,en,Father,word,True,simple-eng-med.xlsx,Sheet1,299,auto_extracted_needs_review,English source text.
ct_00142,father,med,Tà,word,False,simple-eng-med.xlsx,Sheet1,299,needs_native_review,Médumba translation candidate from source file.
ct_00143,my_father,en,My father,phrase,True,simple-eng-med.xlsx,Sheet1,300,auto_extracted_needs_review,English source text.
ct_00144,my_father,med,Tà a,phrase,False,simple-eng-med.xlsx,Sheet1,300,needs_native_review,Médumba translation candidate from source file.
ct_00145,my_brother,en,My brother,phrase,True,simple-eng-med.xlsx,Sheet1,301,auto_extracted_needs_review,English source text.
ct_00146,my_brother,med,Mfêlàm,word,False,simple-eng-med.xlsx,Sheet1,301,needs_native_review,Médumba translation candidate from source file.
ct_00147,my_brother,en,My brother,phrase,True,simple-eng-med.xlsx,Sheet1,302,auto_extracted_needs_review,English source text.
ct_00148,my_brother,med,Mfêlàm mzè mandum,phrase,False,simple-eng-med.xlsx,Sheet1,302,needs_native_review,Médumba translation candidate from source file.
ct_00149,my_sister,en,My sister,phrase,True,simple-eng-med.xlsx,Sheet1,303,auto_extracted_needs_review,English source text.
ct_00150,my_sister,med,Mfêlàm,word,False,simple-eng-med.xlsx,Sheet1,303,needs_native_review,Médumba translation candidate from source file.
ct_00151,my_sister,en,My sister,phrase,True,simple-eng-med.xlsx,Sheet1,304,auto_extracted_needs_review,English source text.
ct_00152,my_sister,med,Mfêlàm mzè mennzwi,phrase,False,simple-eng-med.xlsx,Sheet1,304,needs_native_review,Médumba translation candidate from source file.
ct_00153,a_boy,en,A boy,phrase,True,simple-eng-med.xlsx,Sheet1,305,auto_extracted_needs_review,English source text.
ct_00154,a_boy,med,Men mandum,phrase,False,simple-eng-med.xlsx,Sheet1,305,needs_native_review,Médumba translation candidate from source file.
ct_00155,a_girl,en,A girl,phrase,True,simple-eng-med.xlsx,Sheet1,306,auto_extracted_needs_review,English source text.
ct_00156,a_girl,med,Men mennzwi,phrase,False,simple-eng-med.xlsx,Sheet1,306,needs_native_review,Médumba translation candidate from source file.
ct_00157,husband,en,Husband,word,True,simple-eng-med.xlsx,Sheet1,309,auto_extracted_needs_review,English source text.
ct_00158,husband,med,Bandum,word,False,simple-eng-med.xlsx,Sheet1,309,needs_native_review,Médumba translation candidate from source file.
ct_00159,a_woman,en,A woman,phrase,True,simple-eng-med.xlsx,Sheet1,310,auto_extracted_needs_review,English source text.
ct_00160,a_woman,med,mènnzwi,word,False,simple-eng-med.xlsx,Sheet1,310,needs_native_review,Médumba translation candidate from source file.
ct_00161,woman,en,Woman,word,True,simple-eng-med.xlsx,Sheet1,311,auto_extracted_needs_review,English source text.
ct_00162,woman,med,Mènnzwi,word,False,simple-eng-med.xlsx,Sheet1,311,needs_native_review,Médumba translation candidate from source file.
ct_00163,wife,en,Wife,word,True,simple-eng-med.xlsx,Sheet1,312,auto_extracted_needs_review,English source text.
ct_00164,wife,med,Bènnzwi,word,False,simple-eng-med.xlsx,Sheet1,312,needs_native_review,Médumba translation candidate from source file.
ct_00165,drink,en,Drink,word,True,simple-eng-med.xlsx,Sheet1,313,auto_extracted_needs_review,English source text.
ct_00166,drink,med,Nu,word,False,simple-eng-med.xlsx,Sheet1,313,needs_native_review,Médumba translation candidate from source file.
ct_00167,eat,en,Eat,word,True,simple-eng-med.xlsx,Sheet1,314,auto_extracted_needs_review,English source text.
ct_00168,eat,med,Jù,word,False,simple-eng-med.xlsx,Sheet1,314,needs_native_review,Médumba translation candidate from source file.
ct_00169,a_cup,en,A cup,phrase,True,simple-eng-med.xlsx,Sheet1,315,auto_extracted_needs_review,English source text.
ct_00170,a_cup,med,cup,word,False,simple-eng-med.xlsx,Sheet1,315,needs_native_review,Médumba translation candidate from source file.
ct_00171,a_cup,en,A cup,phrase,True,simple-eng-med.xlsx,Sheet1,316,auto_extracted_needs_review,English source text.
ct_00172,a_cup,med,cup,word,False,simple-eng-med.xlsx,Sheet1,316,needs_native_review,Médumba translation candidate from source file.
ct_00173,a_glass,en,A glass,phrase,True,simple-eng-med.xlsx,Sheet1,317,auto_extracted_needs_review,English source text.
ct_00174,a_glass,med,cup,word,False,simple-eng-med.xlsx,Sheet1,317,needs_native_review,Médumba translation candidate from source file.
ct_00175,a_glass,en,A glass,phrase,True,simple-eng-med.xlsx,Sheet1,318,auto_extracted_needs_review,English source text.
ct_00176,a_glass,med,cup,word,False,simple-eng-med.xlsx,Sheet1,318,needs_native_review,Médumba translation candidate from source file.
ct_00177,take,en,Take,word,True,simple-eng-med.xlsx,Sheet1,321,auto_extracted_needs_review,English source text.
ct_00178,take,med,Ko,word,False,simple-eng-med.xlsx,Sheet1,321,needs_native_review,Médumba translation candidate from source file.
ct_00179,throw,en,Throw,word,True,simple-eng-med.xlsx,Sheet1,323,auto_extracted_needs_review,English source text.
ct_00180,throw,med,Ghuaʼ,word,False,simple-eng-med.xlsx,Sheet1,323,needs_native_review,Médumba translation candidate from source file.
ct_00181,push,en,Push,word,True,simple-eng-med.xlsx,Sheet1,325,auto_extracted_needs_review,English source text.
ct_00182,push,med,Tènde,word,False,simple-eng-med.xlsx,Sheet1,325,needs_native_review,Médumba translation candidate from source file.
ct_00183,bring_back_to_you,en,Bring back to you,phrase,True,simple-eng-med.xlsx,Sheet1,326,auto_extracted_needs_review,English source text.
ct_00184,bring_back_to_you,med,Se' va we,phrase,False,simple-eng-med.xlsx,Sheet1,326,needs_native_review,Médumba translation candidate from source file.
ct_00185,come_and_get,en,Come and get,phrase,True,simple-eng-med.xlsx,Sheet1,327,auto_extracted_needs_review,English source text.
ct_00186,come_and_get,med,Se' ko,phrase,False,simple-eng-med.xlsx,Sheet1,327,needs_native_review,Médumba translation candidate from source file.
ct_00187,let_s_go,en,Let's go,phrase,True,simple-eng-med.xlsx,Sheet1,328,auto_extracted_needs_review,English source text.
ct_00188,let_s_go,med,bè nene,phrase,False,simple-eng-med.xlsx,Sheet1,328,needs_native_review,Médumba translation candidate from source file.
ct_00189,zero,en,Zero,word,True,simple-eng-med.xlsx,Sheet1,329,auto_extracted_needs_review,English source text.
ct_00190,zero,med,Ba nban,phrase,False,simple-eng-med.xlsx,Sheet1,329,needs_native_review,Médumba translation candidate from source file.
ct_00191,one,en,One,word,True,simple-eng-med.xlsx,Sheet1,330,auto_extracted_needs_review,English source text.
ct_00192,one,med,Taʼ,word,False,simple-eng-med.xlsx,Sheet1,330,needs_native_review,Médumba translation candidate from source file.
ct_00193,two,en,Two,word,True,simple-eng-med.xlsx,Sheet1,331,auto_extracted_needs_review,English source text.
ct_00194,two,med,Boho,word,False,simple-eng-med.xlsx,Sheet1,331,needs_native_review,Médumba translation candidate from source file.
ct_00195,three,en,Three,word,True,simple-eng-med.xlsx,Sheet1,332,auto_extracted_needs_review,English source text.
ct_00196,three,med,Tàt,word,False,simple-eng-med.xlsx,Sheet1,332,needs_native_review,Médumba translation candidate from source file.
ct_00197,four,en,Four,word,True,simple-eng-med.xlsx,Sheet1,333,auto_extracted_needs_review,English source text.
ct_00198,four,med,Kuà,word,False,simple-eng-med.xlsx,Sheet1,333,needs_native_review,Médumba translation candidate from source file.
ct_00199,five,en,Five,word,True,simple-eng-med.xlsx,Sheet1,334,auto_extracted_needs_review,English source text.
ct_00200,five,med,Tàn,word,False,simple-eng-med.xlsx,Sheet1,334,needs_native_review,Médumba translation candidate from source file.
ct_00201,sleep,en,Sleep,word,True,simple-eng-med.xlsx,Sheet1,335,auto_extracted_needs_review,English source text.
ct_00202,sleep,med,Zi,word,False,simple-eng-med.xlsx,Sheet1,335,needs_native_review,Médumba translation candidate from source file.
ct_00203,please,en,Please,word,True,simple-eng-med.xlsx,Sheet1,336,auto_extracted_needs_review,English source text.
ct_00204,please,med,Netshoʼo,word,False,simple-eng-med.xlsx,Sheet1,336,needs_native_review,Médumba translation candidate from source file.
ct_00205,open,en,Open,word,True,simple-eng-med.xlsx,Sheet1,339,auto_extracted_needs_review,English source text.
ct_00206,open,med,Co'o,word,False,simple-eng-med.xlsx,Sheet1,339,needs_native_review,Médumba translation candidate from source file.
ct_00207,the_door,en,The door,phrase,True,simple-eng-med.xlsx,Sheet1,340,auto_extracted_needs_review,English source text.
ct_00208,the_door,med,nda,word,False,simple-eng-med.xlsx,Sheet1,340,needs_native_review,Médumba translation candidate from source file.
ct_00209,close_the_door,en,Close the door,phrase,True,simple-eng-med.xlsx,Sheet1,341,auto_extracted_needs_review,English source text.
ct_00210,close_the_door,med,Fu' nzè nda,phrase,False,simple-eng-med.xlsx,Sheet1,341,needs_native_review,Médumba translation candidate from source file.
ct_00211,open_the_door,en,Open the door,phrase,True,simple-eng-med.xlsx,Sheet1,342,auto_extracted_needs_review,English source text.
ct_00212,open_the_door,med,Co' nzè nda,phrase,False,simple-eng-med.xlsx,Sheet1,342,needs_native_review,Médumba translation candidate from source file.
ct_00213,have_a_seat,en,Have a seat,phrase,True,simple-eng-med.xlsx,Sheet1,343,auto_extracted_needs_review,English source text.
