source_file,source_sheet,source_row,English,Medumba,category,status,review_reason,word_count
eng-med_processing.xlsx,Processed_Entries_Combined,56,"Note: While acknowledging the help that God provides, Jehovah’s Witnesses also seek medical treatment for chronic illness.",Kwimde mbe: Mba tà ndù ghakwénta Yaweh Nsi num mbètte ywimde Nsi ngelañ bo tshwèt ngon nà bo num mbèn nèn ndàtshwén.,food_drink,source_context_only,Religious/source-context term; do not import into child lessons by default.,17
eng-med_processing.xlsx,Processed_Entries_Combined,56,"We do not however endorse any specific medical approach; we feel that each person should make his own health decisions.""","Là bag keʼ be tènde mènntùn a bam taʼ mat netshwén wul i yi mba we lo bèn ngù neloʼ mfiʼ num ze ntswe mebwô.""",actions,needs_review,Long/paragraph entry; keep as raw source or split manually.,20
eng-med_processing.xlsx,Processed_Entries_Combined,57,Request a return visit.,Bètte bo yôg o.,location_direction,needs_review,Needs native speaker review.,4
eng-med_processing.xlsx,Processed_Entries_Combined,58,Would you like to learn more about the Bible or about Jehovah’s Witnesses?,O kô nelèn tshu yàm mfà num Ñwaʼni Nsi mba num Ghakwénta Yaweh Nsi ké?,body,source_context_only,Religious/source-context term; do not import into child lessons by default.,13
eng-med_processing.xlsx,Processed_Entries_Combined,58,"If so request a visit from one of Jehovah’s Witnesses by completing the form below and a Witness in your area will contact you.""","Ndùlà bètte taʼ Ngakwénta Yaweh Nsi seʼ njôg o dunde fe bètte a be mà tun nà taʼ ngakwénta ntùm yu tañlaʼ aʼ tsiañ o.""",actions,source_context_only,Religious/source-context term; do not import into child lessons by default.,24
eng-med_processing.xlsx,Processed_Entries_Combined,59,"We will use the personal data you submit only to honor your specific request for a visit. This is in harmony with our global policy on use of personal data.""","Bag aʼ loʼ njoñ tshu fa tsʼo ki mfà bag a nke ndôtʼo lʼà ndaʼ num neloʼ ngù mènntùn seʼ yôg o mbʼo bètte là. Yenni zin ku ntshùʼ bo yag nkazin num mat neloʼ njoñ tshu fa tse benntùn ki mfà bag a nke ndôde yub là mfaʼ yi.""",actions,needs_review,Long/paragraph entry; keep as raw source or split manually.,30
eng-med_processing.xlsx,Processed_Entries_Combined,60,"Coronavirus (COVID-19) Alert: In many areas, we have suspended our in-person visits and public meetings.",Nte bu num Coronavirus (COVID-19): Ntùm mbe’yàm tañla’ bag ke’ bèn neyôg benntun la’ bo ke bèn ngù ntse’de tèt yàme.,learning,needs_review,Long/paragraph entry; keep as raw source or split manually.,15
eng-med_processing.xlsx,Processed_Entries_Combined,60,"Please include your telephone number when you complete this form and a Witness in your area will contact you.""","Netsho’o kide yu keki kàb ngelañ o tshwèt ndunde yen ñwa’ni li ndùlà ta’ Ngakwénta ntùm yu ntañla’ a’ tsiañ o.""",questions,source_context_only,Religious/source-context term; do not import into child lessons by default.,19
eng-med_processing.xlsx,Processed_Entries_Combined,61,Your contact information,Tshob bag fa num ou,general,needs_review,Needs native speaker review.,3
eng-med_processing.xlsx,Processed_Entries_Combined,62,First name,Len là’,general,needs_review,Needs native speaker review.,2
eng-med_processing.xlsx,Processed_Entries_Combined,63,Last Name,Lèn mekale,general,needs_review,Needs native speaker review.,2
eng-med_processing.xlsx,Processed_Entries_Combined,64,Gender,Lèn mèn,general,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,65,male,mandum,general,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,66,female,menzwi,general,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,67,Prefered language,Ntshob ze ou kô là,general,needs_review,Needs native speaker review.,2
eng-med_processing.xlsx,Processed_Entries_Combined,68,Country,Ngô,general,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,69,Address line 1,Tshâg du’ num bag i 1,general,needs_review,Needs native speaker review.,3
eng-med_processing.xlsx,Processed_Entries_Combined,70,Optional,Ne tshou’ yu tu woud,general,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,71,Town,Tûso,general,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,72,Province,Tan ngô,general,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,73,Postal code,Keki tou’ nwa’ni,general,needs_review,Needs native speaker review.,2
eng-med_processing.xlsx,Processed_Entries_Combined,74,Telephone,Keki kap,general,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,75,Best time to contact you,Bwô ngelan num ne tsian ou,general,needs_review,Needs native speaker review.,5
eng-med_processing.xlsx,Processed_Entries_Combined,76,Please contact me,Netshou'ou bin tsian am,general,needs_review,Needs native speaker review.,3
eng-med_processing.xlsx,Processed_Entries_Combined,77,Would you say it is,Be o tshob mbe,values_communication,needs_review,Needs native speaker review.,5
eng-med_processing.xlsx,Processed_Entries_Combined,78,A book of bible wisdom,ñwaʼni zenù benntùn ké,learning,source_context_only,Religious/source-context term; do not import into child lessons by default.,5
eng-med_processing.xlsx,Processed_Entries_Combined,79,A book of myth and legends,ñwaʼni tshô baunbaun ké,learning,needs_review,Needs native speaker review.,6
eng-med_processing.xlsx,Processed_Entries_Combined,80,The word of God,ñwaʼni ze a fe Nsi ké,actions,source_context_only,Religious/source-context term; do not import into child lessons by default.,4
eng-med_processing.xlsx,Processed_Entries_Combined,81,What the bible says,Ñwaʼni nsi tshob ndù,questions,source_context_only,Religious/source-context term; do not import into child lessons by default.,4
eng-med_processing.xlsx,Processed_Entries_Combined,82,All scriptures is inspired of God.,Njoñ ñwaʼni Nsi fa fe à ywèt Nsi.,actions,source_context_only,Religious/source-context term; do not import into child lessons by default.,6
eng-med_processing.xlsx,Processed_Entries_Combined,83,What can that mean for you,A ke ntswide o a ke,questions,needs_review,Needs native speaker review.,6
eng-med_processing.xlsx,Processed_Entries_Combined,84,Satisfying answers to life’s big questions.,A be fá mbunde mebwô num ba mbette ndùb ntùm yôg.,general,needs_review,Needs native speaker review.,6
eng-med_processing.xlsx,Processed_Entries_Combined,85,Reliable guidance for day-to-day living.,A be fá ntag mebwô num yôg.,time,needs_review,Needs native speaker review.,5
eng-med_processing.xlsx,Processed_Entries_Combined,86,Real hope for the future.,Fá nywinde num ngelañ ze a seʼ là.,general,needs_review,Needs native speaker review.,5
eng-med_processing.xlsx,Processed_Entries_Combined,87,Can we really believe what the Bible says?,Mbe be bam kwaʼ ju Ñwaʼni nsi tshob ké?,questions,source_context_only,Religious/source-context term; do not import into child lessons by default.,8
eng-med_processing.xlsx,Processed_Entries_Combined,88,"Yes, for at least three reasons:","Ñ, num tshu tad:",general,needs_review,Needs native speaker review.,6
eng-med_processing.xlsx,Processed_Entries_Combined,90,"Honest history. Secular historians seem quick to cover over the defeats of their people. In contrast Bible writers candidly recorded both their personal failings and those of their nation.""","Ne tshob nenùne. Ghasoñ tshô njù num lem nukebwô tshobe. Ndaʼndù ghakide Ñwaʼni Nsi ke ntshob mub fan nu mba tse ben tshobe.""",food_drink,source_context_only,Religious/source-context term; do not import into child lessons by default.,29
eng-med_processing.xlsx,Processed_Entries_Combined,92,"Numerous other Bible prophecies were also fulfilled down to the smallest detail. But is that not what we would expect of the Word of God?""","Ñwaʼni Nsi ya tshob ntshob ndamnjù yame a bumde. A ke ju ze be tshwèt bib Ñwaʼni ze a fe Nsi ké? """,questions,source_context_only,Religious/source-context term; do not import into child lessons by default.,25
eng-med_processing.xlsx,Processed_Entries_Combined,93,What Is the Kingdom of God?,Nufen Nsi be a ke?,questions,source_context_only,Religious/source-context term; do not import into child lessons by default.,6
eng-med_processing.xlsx,Processed_Entries_Combined,94,Would you say it is,Be o tshob mbe a,values_communication,needs_review,Needs native speaker review.,5
eng-med_processing.xlsx,Processed_Entries_Combined,95,something within your heart?,ju ntùm ntù o ké?,body,needs_review,Needs native speaker review.,4
eng-med_processing.xlsx,Processed_Entries_Combined,96,a figure of speech?,taʼ mat ne tshob ké?,general,needs_review,Needs native speaker review.,4
eng-med_processing.xlsx,Processed_Entries_Combined,97,a government in heaven?,taʼ nufen mve kamànyam ké?,actions,source_context_only,Religious/source-context term; do not import into child lessons by default.,4
eng-med_processing.xlsx,Processed_Entries_Combined,98,What the bible says,Ñwaʼni nsi tshob ndù,questions,source_context_only,Religious/source-context term; do not import into child lessons by default.,4
eng-med_processing.xlsx,Processed_Entries_Combined,99,The God of heaven will set up a kingdom that will never be destroyed.,Nsi kamànyam nsi tshoʼ moʼ nufen ze a tswe matmat là.,location_direction,source_context_only,Religious/source-context term; do not import into child lessons by default.,14
eng-med_processing.xlsx,Processed_Entries_Combined,100,A son has been given to us; and the government will rest on his shoulder.,Bo bwe taʼ mén mandum be. Nu netô njù bʼa ntùm mbu mi.,health_hygiene,needs_review,Long/paragraph entry; keep as raw source or split manually.,15
eng-med_processing.xlsx,Processed_Entries_Combined,101,A righteous government that can benefit you personally.,Ze nufen bʼa num ze be mebwô.,actions,needs_review,Needs native speaker review.,8
eng-med_processing.xlsx,Processed_Entries_Combined,102,"In a coming new world, life in perfect health and happiness.",Yôg bo ntswe mebwô ntùm njù nswe.,general,needs_review,Long/paragraph entry; keep as raw source or split manually.,11
eng-med_processing.xlsx,Processed_Entries_Combined,103,"Jesus showed what God’s Kingdom will accomplish. Jesus taught his followers to pray for God’s Kingdom to come and for God’s will to be done on earth. ""","Yésu laʼde tshu tse Nufen Nsi ghù là. Yésu tswide be ne ke leʼde Nsi ndù: ghù nufen so seʼe ghù yo nekô bumde mba mfe kamànyam mba num nsitshaʼa.""",body,source_context_only,Religious/source-context term; do not import into child lessons by default.,27
eng-med_processing.xlsx,Processed_Entries_Combined,104,Jesus demonstrated how that prayer will be answered.,Yésu lo laʼde mba yen leʼde là nsi bumde là.,general,source_context_only,Religious/source-context term; do not import into child lessons by default.,8
eng-med_processing.xlsx,Processed_Entries_Combined,107,"We see those very conditions today. So we can be confident that God’s Kingdom will soon bring an end to all such problems.""","Mba be tshwét njen tshen ngeʼ là sènni là, be bam mbe Nufen Nsi ghepte num ne seʼ biagde ngeʼ.""",time,source_context_only,Religious/source-context term; do not import into child lessons by default.,23
eng-med_processing.xlsx,Processed_Entries_Combined,108,To think about,Na' nkwade,pronouns_possession,needs_review,Needs native speaker review.,3
eng-med_processing.xlsx,Processed_Entries_Combined,109,What will life be like under the rule of God’s Kingdom?,Yôg aʼ be a ndùke ngelañ Nufen Nsi seʼ a?,questions,source_context_only,Religious/source-context term; do not import into child lessons by default.,11
eng-med_processing.xlsx,Processed_Entries_Combined,110,The Bible answers that question at,Ñwaʼni Nsi bunde yen bette li ntùm,general,source_context_only,Religious/source-context term; do not import into child lessons by default.,6
eng-med_processing.xlsx,Processed_Entries_Combined,111,"Throughout Jesus’ ministry, he taught about God’s Kingdom more than any other subject. For centuries his followers have prayed for that Kingdom to come.""","Ngelañ a nke nsoñ ntshob Nsi num nsitshaʼ là, Yésu naʼ tshob mfà num Nufen Nsi ntshùa num mba zit ju lo. Ntùm nguʼnjù yàme ghaziʼde nu i leʼde mbe yen Nufen nà seʼe.""",actions,source_context_only,Religious/source-context term; do not import into child lessons by default.,24
eng-med_processing.xlsx,Processed_Entries_Combined,112,"The Bible is providing answers to life’s big questions for millions of people around the world. Would you like to be one of them?""","Mbeʼ yàm mbètte ndùb tse benntùn ghù ntùm njù là, ghù mbùnde mi ntùm Ñwaʼni Nsi. O kô nebe taʼ mèn netèt bo ké?""",animals,source_context_only,Religious/source-context term; do not import into child lessons by default.,24
eng-med_processing.xlsx,Processed_Entries_Combined,113,Remove off the old personality with its practices.,Bin sô njwèn mèn bo mfaʼ mi num bin.,general,needs_review,Needs native speaker review.,8
eng-med_processing.xlsx,Processed_Entries_Combined,114,Living Up to Our Name,Be fà nkuʼni lén be tshwèt nket là,location_direction,needs_review,Needs native speaker review.,5
eng-med_processing.xlsx,Processed_Entries_Combined,115,What was your life like before you began studying the Bible?,Ke lèn yôg o naʼ ngù kà ntoʼde neziʼde Ñwaʼni Nsi à?,questions,source_context_only,Religious/source-context term; do not import into child lessons by default.,11
eng-med_processing.xlsx,Processed_Entries_Combined,116,What did you discover as you studied the Bible?,Yu ziʼde Ñwaʼni Nsi ywimdʼo nejuʼ à ke?,questions,source_context_only,Religious/source-context term; do not import into child lessons by default.,9
eng-med_processing.xlsx,Processed_Entries_Combined,117,"what does Jehovah want us to do, and what will we discuss in this article?",Yaweh Nsi tshwèt mbètte mbe be ghù à ke?,questions,source_context_only,Religious/source-context term; do not import into child lessons by default.,15
eng-med_processing.xlsx,Processed_Entries_Combined,118,What is the old personality?,Njwèn mèn bʼa ke?,questions,needs_review,Needs native speaker review.,5
eng-med_processing.xlsx,Processed_Entries_Combined,119,How does a person act when he is controlled by “the old personality”?,Mènntùn zʼa keʼ yoñ “nsô njwèn mèn” num i là nke ngù à ndùke?,questions,needs_review,Long/paragraph entry; keep as raw source or split manually.,13
eng-med_processing.xlsx,Processed_Entries_Combined,120,What reasonable view should we have when it comes to stripping off the old personality?,Mènntùn kuʼni nesô njwèn mèn num i ké?,questions,needs_review,Long/paragraph entry; keep as raw source or split manually.,15
eng-med_processing.xlsx,Processed_Entries_Combined,121,"Why does Jehovah urge us to strip off the wrong thinking and bad habits of the old personality?""","Numke Yaweh Nsi kô mbe be ghuaʼ nkwade bo ngùninu tsʼa ghù ntamde bo njwèn mèn à?""",questions,source_context_only,Religious/source-context term; do not import into child lessons by default.,18
eng-med_processing.xlsx,Processed_Entries_Combined,122,what choices do we have?,a bètte be tshoʼ neghù à ke?,questions,needs_review,Needs native speaker review.,5
eng-med_processing.xlsx,Processed_Entries_Combined,123,HOW CAN YOU “STRIP OFF” THE OLD PERSONALITY?,BE KUʼNI “NESÔ” NJWÈN MÈN NUM BEN À NDÙKE?,general,needs_review,Needs native speaker review.,8
eng-med_processing.xlsx,Processed_Entries_Combined,124,What help can we count on to avoid wrong thinking and bad habits?,Tsit tshu bèn nkuʼni neywimde ben neghuaʼ nkwade bo ngùninu kebwô à?,questions,needs_review,Long/paragraph entry; keep as raw source or split manually.,13
eng-med_processing.xlsx,Processed_Entries_Combined,125,What can God’s Word help you to do?,Be Ntshob Nsi ywimdʼo à ndùke?,questions,source_context_only,Religious/source-context term; do not import into child lessons by default.,8
eng-med_processing.xlsx,Processed_Entries_Combined,126,What did you learn from Elie’s experience?,Tshô Eli nke ntswidʼo à ke?,body,needs_review,Needs native speaker review.,7
eng-med_processing.xlsx,Processed_Entries_Combined,127,What things does Jehovah hate?,Yaweh Nsi nke mbàn à tsit tshu à?,questions,source_context_only,Religious/source-context term; do not import into child lessons by default.,5
eng-med_processing.xlsx,Processed_Entries_Combined,128,What does it mean to “abhor what is wicked”?,“Nebàn nukebwô” nke mbagdʼà mbe ke?,questions,exclude_from_kids_or_review,Potentially unsuitable for child beginner content or needs human decision.,9
eng-med_processing.xlsx,Processed_Entries_Combined,129,Why must we safeguard our thinking?,Numke a mbètte be béb nkwade ben à?,questions,needs_review,Needs native speaker review.,6
eng-med_processing.xlsx,Processed_Entries_Combined,130,"What does our speech reveal, and what questions should we answer?","Ntshob ben nke ndaʼdʼà ke, be ghù nesiañde nu mfʼà num tsit mbètte à?",questions,needs_review,Long/paragraph entry; keep as raw source or split manually.,11
eng-med_processing.xlsx,Processed_Entries_Combined,131,What does it mean to nail our old personality “to the stake”?,Nekwémde zebe njwèn mèn num “taʼtù” nke mbagdʼà mbe ke?,questions,needs_review,Long/paragraph entry; keep as raw source or split manually.,12
eng-med_processing.xlsx,Processed_Entries_Combined,132,Why must you be determined to continue fighting fleshly weaknesses?,Numke a mbètte o nèn mbwe nezwe bo tsho mat kebwô ke bot mbu à?,questions,needs_review,Long/paragraph entry; keep as raw source or split manually.,10
eng-med_processing.xlsx,Processed_Entries_Combined,133,What did you find encouraging about Nabiha’s experience?,Ke zʼa tshwèt nso kù num o num tshô Nabiha à?,questions,needs_review,Needs native speaker review.,8
eng-med_processing.xlsx,Processed_Entries_Combined,134,YOU CAN QUALIFY FOR BAPTISM!,BʼO LOʼ MFIʼ NEGHÙ NYUʼNTSE!,general,needs_review,Needs native speaker review.,5
eng-med_processing.xlsx,Processed_Entries_Combined,135,what have many of God’s servants been able to do?,ke ze bwoñ ghafaʼ Nsi naʼ nkuʼni neghù à?,questions,source_context_only,Religious/source-context term; do not import into child lessons by default.,10
eng-med_processing.xlsx,Processed_Entries_Combined,136,What will the next article discuss?,Ke ze be yen ntùm ziʼde a mbwe à?,questions,needs_review,Needs native speaker review.,6
eng-med_processing.xlsx,Processed_Entries_Combined,137,Please Hear My Prayer,Netshoʼo juʼ yàm leʼde,body,source_context_only,Religious/source-context term; do not import into child lessons by default.,4
eng-med_processing.xlsx,Processed_Entries_Combined,138,Print,Neféle,general,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,139,Share,Ghapte,general,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,140,Continue Putting On “the New Personality” After Baptism,Nèn mbwe nemaʼ “mèn nswe” num o mba ngelañ o ghù nyuʼntse là,general,needs_review,Needs native speaker review.,8
eng-med_processing.xlsx,Processed_Entries_Combined,141,Clothe yourselves with the new personality.,Maʼ mèn nswe.,descriptions_quantity,needs_review,Needs native speaker review.,6
eng-med_processing.xlsx,Processed_Entries_Combined,142,Making Jehovah’s Heart Glad,Ghù ntù Yaweh Nsi tsiañde,body,source_context_only,Religious/source-context term; do not import into child lessons by default.,4
eng-med_processing.xlsx,Processed_Entries_Combined,143,What primarily shapes our personality?,A bʼa kuaʼ ke bèn nke ngù bag bin be ben be be yi lʼà?,questions,needs_review,Needs native speaker review.,5
eng-med_processing.xlsx,Processed_Entries_Combined,144,What questions will we consider in this article?,Bag bin aʼ bùndʼà tsit mbètte ntùm yen ziʼde li à?,questions,needs_review,Needs native speaker review.,8
eng-med_processing.xlsx,Processed_Entries_Combined,145,WHAT IS “THE NEW PERSONALITY”?,MÈN NSWE” BʼA KE?,questions,needs_review,Needs native speaker review.,5
eng-med_processing.xlsx,Processed_Entries_Combined,146,"what is “the new personality,” and how does a person clothe himself with it?","“Mèn nswe” bʼa ke, be bag bin maʼ i à ndùke?",questions,needs_review,Long/paragraph entry; keep as raw source or split manually.,14
eng-med_processing.xlsx,Processed_Entries_Combined,147,"To put on the new personality, can we develop the qualities mentioned at just one at a time? Explain.","Num nemaʼ mèn nwse, be kuʼni nedùʼ tsemoʼ mat tse bo tunde ntùm là mfañ tsemoʼ ké? Bagde.",pronouns_possession,needs_review,Long/paragraph entry; keep as raw source or split manually.,19
eng-med_processing.xlsx,Processed_Entries_Combined,148,HOW CAN WE PUT ON THE NEW PERSONALITY?,BE KUʼNI NEMAʼ MÈN NSWE À NDÙKE?,general,needs_review,Needs native speaker review.,8
