concept_key,display_name,category,difficulty,recommended_for_mvp,status,source_files,notes
don_t_finish,Don't finish,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
don_t_finish_your_money,Don't finish your money,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
don_t_hit_her,Don't hit her,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
don_t_sell,Don't sell,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
don_t_sit,Don't sit,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
don_t_touch,Don't touch,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
don_t_walk,Don't walk,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
give_him,Give him,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
give_me,Give me,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
give_me_your_hand_story,Give me your hand,actions,beginner_plus,True,draft_needs_review,frabcaise_3.xlsx,Dialogue phrase from story
give_mine,Give mine,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
go,Go,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
go_and_sleep,Go and sleep,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
go_with_this,Go with this,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
i_am_going_to_hit_you,I am going to hit you,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
i_don_t_have,I don't have,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
i_don_t_have_money,I don't have money,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
i_forgot,I forgot,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
jump,Jump,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
let_her_go,Let her go,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
let_s_go,Let's go,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
let_s_go_and_sleep,Let's go and sleep,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
let_s_go_to_the_hospital,Let’s go to the hospital,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
let_s_go_to_the_shop,Let’s go to the shop,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
pick_it,Pick it,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
please_give_mine,Please give mine,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
push,Push,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
run,Run,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
sleep,Sleep,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
stand,Stand,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
take,Take,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
throw,Throw,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
tie,Tie,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
tie_that,Tie that,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
walk,Walk,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
a_dog,A dog,animals,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
a_snake,A snake,animals,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
animal,animal,animals,beginner_plus,True,draft_needs_review,frabcaise_3.xlsx,Story vocabulary
hyena,hyena,animals,beginner_plus,True,draft_needs_review,frabcaise_3.xlsx,Story vocabulary
jackal,jackal,animals,beginner_plus,True,draft_needs_review,frabcaise_3.xlsx,Story vocabulary
lion,lion,animals,beginner_plus,True,draft_needs_review,frabcaise_3.xlsx,Story vocabulary
lioness,lioness,animals,beginner_plus,True,draft_needs_review,frabcaise_3.xlsx,Needs reviewer check
the_cat,The cat,animals,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
the_mouse,The mouse,animals,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
tiger,tiger,animals,beginner_plus,True,draft_needs_review,frabcaise_3.xlsx,Story/proverb vocabulary
loaded,Loaded:,app_ui,ui,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
mute,Mute,app_ui,ui,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
play,Play,app_ui,ui,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
progress,Progress:,app_ui,ui,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
ahead,Ahead,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
belly,Belly,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
close_your_eyes,Close your eyes,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
do_you_hear,Do you hear?,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
don_t_hear,Don't hear,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
ears,Ears,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
hand,Hand,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
head,Head,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
hear,hear,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
i_have_heard,I have heard,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
learn,Learn,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
mouth,MOUTH,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
move_ahead,Move ahead,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
my_belly_hurts,My belly hurts,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
put_your_hand_here,Put your hand here,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
remove_your_hand,Remove your hand,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
search,search,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
search_for_your_shoes,Search for your shoes,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
searching,searching,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
show_your_hand,Show your hand,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
stretch_your_hand,Stretch your hand,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
take_off_your_hand,Take off your hand,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
the_chest,The chest,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
the_eyes,The eyes,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
the_legs,The legs,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
the_mouth,The mouth,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
the_tongue,The tongue,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
there_he_is_near_you,There he is near you,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
there_near_you,There near you,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
wash_your_hand,Wash your hand,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
wash_your_hands,Wash your hands,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
we_walk_with_legs,We walk with legs,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
wear_a_garment,Wear a garment,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
wear_an_outfit,Wear an outfit,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
wear_the_shoes,Wear the shoes,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
wear_your_outfit,Wear your outfit,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
wear_your_shoes,Wear your shoes,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
with_the_mouth,With the mouth,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
your_eye,Your eye,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
your_eyes,Your eyes,body,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
a_little,A little,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
a_little_bit,A little bit,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
a_lot,A lot,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
cloth,Cloth,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
exactly,Exactly,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
he_is_very_short,He is very short,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
it_is_a_lie,It is a lie,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
it_is_enough,It is enough,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
it_is_enough_like_that,It is enough like that,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
it_is_much,It is much,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
it_is_not_enough,It is not enough,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
it_is_not_true,It is not true,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
it_is_small,It is small,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
it_is_too_much,It is too much,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
it_is_true,It is true,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
it_s_long,It's long,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
it_s_short,It's short,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
small,Small,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
so_much,So much,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
that_rope_is_too_long,That rope is too long,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
that_s_right,That's right,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
too_much,Too much,descriptions_quantity,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
a_boy,A boy,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
a_girl,A girl,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
a_woman,A woman,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
child,child,family_people,beginner_plus,True,draft_needs_review,frabcaise_3.xlsx,Story vocabulary
children_should_obey_their_parents,Children should obey their parents.,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
father,Father,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
friend,friend,family_people,beginner_plus,True,draft_needs_review,Anta et Mamadou (1).docx,Extracted from story; review
give_to_your_brother,Give to your brother,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
husband,Husband,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
in_the_name_of_the_father,In the name of the father,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
mother,mother,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
my_brother,My brother,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
my_father,My father,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
my_mother,My mother,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
my_sister,My sister,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
please_mother,Please mother,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
please_my_brother,Please my brother,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
please_my_sister,Please my sister,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
the_child,The child,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
the_child_is_sick,The child is sick,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
where_is_your_dad,Where is your Dad?,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
where_is_your_father,Where is your father?,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
wife,Wife,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx; frabcaise_3.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.; Context-sensitive; review
woman,Woman,family_people,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
young_man,young man,family_people,beginner_plus,True,draft_needs_review,frabcaise_3.xlsx,Story vocabulary from Le jeune homme et le lion
be_happy,Be happy,feelings,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
be_mad,Be mad,feelings,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
cry,Cry,feelings,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
get_mad,Get mad,feelings,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
i_am_happy,I am happy,feelings,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
i_feel_sorry_for_you,I feel sorry for you,feelings,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
i_love_you,I love you,feelings,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
i_love_you_so_much,I love you so much,feelings,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
laugh,Laugh,feelings,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
love,Love,feelings,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
show_love,Show love.,feelings,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
you_are_crying,You are crying,feelings,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
you_are_laughing,You are laughing,feelings,beginner_plus,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
are_you_hungry,Are you hungry?,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
breathe,Breathe,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
chilli_pepper,Chilli pepper,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
don_t_finish_food,Don't finish food,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
don_t_finish_your_food,Don't finish your food,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
drink,Drink,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
drink_water,Drink water,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
eat,Eat,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
eat_meat,Eat meat,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
food_is_finish,Food is finish,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
have_a_seat,Have a seat,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
have_a_seat_please,Have a seat please,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
have_you_eaten,Have you eaten?,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
hunger,Hunger,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
i_am_eating,I am eating,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
i_am_hungry,I am hungry,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
i_will_drink_water,I will drink water,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
i_will_eat,I will eat,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
meat,Meat,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
plantain,Plantain,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
repeat_please,"Repeat, please",food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
rice,Rice,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
spices,Spices,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
the_dog_ate_meat,The dog ate meat,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
the_dog_ate_meat_everyday,The dog ate meat everyday,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
the_dog_ate_meat_yesterday,The dog ate meat yesterday,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
the_dog_eats_meat,The dog eats meat,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
the_dog_is_eating_meat,The dog is eating meat,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
the_dog_will_eat_meat,The dog will eat meat,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
the_sauce,The sauce,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
water,Water,food_drink,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
