concept_key,English,Medumba,category,difficulty,recommended_for_mvp,source_file,source_sheet,source_row,status,word_count,notes
let_s_go_to_the_hospital,Let’s go to the hospital,Bag bin nèn ndàtshwén,actions,beginner,True,simple-eng-med.xlsx,Sheet1,242,needs_review,5,
let_s_go_to_the_shop,Let’s go to the shop,Bag bin nèn tàn,actions,beginner,True,simple-eng-med.xlsx,Sheet1,224,needs_review,5,
let_s_go_to_the_shop,Let’s go to the shop,Bag wù nèn ta ntàn,actions,beginner,True,simple-eng-med.xlsx,Sheet1,225,needs_review,5,
let_s_go_to_the_shop,Let’s go to the shop,Bag bin nèn ta ntàn,actions,beginner,True,simple-eng-med.xlsx,Sheet1,226,needs_review,5,
pick_it,Pick it,Juage,actions,beginner,True,simple-eng-med.xlsx,Sheet1,755,needs_review,2,
please_give_mine,Please give mine,Netshoʼo fa yam,actions,beginner,True,simple-eng-med.xlsx,Sheet1,418,needs_review,3,
push,Push,Tènde,actions,beginner,True,simple-eng-med.xlsx,Sheet1,325,needs_review,1,
run,Run,Nkù nde,actions,beginner,True,simple-eng-med.xlsx,Sheet1,444,needs_review,1,
sleep,Sleep,Zi,actions,beginner,True,simple-eng-med.xlsx,Sheet1,335,needs_review,1,
stand,Stand,Tsin tu,actions,beginner,True,simple-eng-med.xlsx,Sheet1,489,needs_review,1,
take,Take,Ko,actions,beginner,True,simple-eng-med.xlsx,Sheet1,321,needs_review,1,
throw,Throw,Ghuaʼ,actions,beginner,True,simple-eng-med.xlsx,Sheet1,323,needs_review,1,
tie,Tie,Tàne,actions,beginner,True,simple-eng-med.xlsx,Sheet1,731,needs_review,1,
tie_that,Tie that,Kut ju là,actions,beginner,True,simple-eng-med.xlsx,Sheet1,732,needs_review,2,
walk,Walk,Zin,actions,beginner,True,simple-eng-med.xlsx,Sheet1,461,needs_review,1,
a_dog,A dog,mbu,animals,beginner,True,simple-eng-med.xlsx,Sheet1,289,needs_review,2,
a_snake,A snake,Nyu,animals,beginner,True,simple-eng-med.xlsx,Sheet1,291,needs_review,2,
the_cat,The cat,Bù si,animals,beginner,True,simple-eng-med.xlsx,Sheet1,298,needs_review,2,
the_mouse,The mouse,Tiku,animals,beginner,True,simple-eng-med.xlsx,Sheet1,296,needs_review,2,
loaded,Loaded:,A ku’u:,app_ui,ui,True,simple-eng-med.xlsx,Sheet1,31,needs_review,1,
mute,Mute,Ne lok nze i,app_ui,ui,True,simple-eng-med.xlsx,Sheet1,33,needs_review,1,
play,Play,Siañe,app_ui,ui,True,simple-eng-med.xlsx,Sheet1,29,needs_review,1,
progress,Progress:,Njoñ:,app_ui,ui,True,simple-eng-med.xlsx,Sheet1,32,needs_review,1,
ahead,Ahead,Mbwè,body,beginner,True,simple-eng-med.xlsx,Sheet1,625,needs_review,1,
belly,Belly,Bàm,body,beginner,True,simple-eng-med.xlsx,Sheet1,277,needs_review,1,
close_your_eyes,Close your eyes,Mum miag mu,body,beginner,True,simple-eng-med.xlsx,Sheet1,639,needs_review,3,
do_you_hear,Do you hear?,O ju à?,body,beginner,True,simple-eng-med.xlsx,Sheet1,346,needs_review,3,
don_t_hear,Don't hear,Ka ju,body,beginner,True,simple-eng-med.xlsx,Sheet1,403,needs_review,2,
ears,Ears,Ntoñ,body,beginner,True,simple-eng-med.xlsx,Sheet1,270,needs_review,1,
hand,Hand,Bu,body,beginner,True,simple-eng-med.xlsx,Sheet1,272,needs_review,1,
head,Head,Tu,body,beginner,True,simple-eng-med.xlsx,Sheet1,269,needs_review,1,
hear,hear,ju',body,beginner,True,simple-eng-med.xlsx,Sheet1,561,needs_review,1,
i_have_heard,I have heard,Me ju',body,beginner,True,simple-eng-med.xlsx,Sheet1,562,needs_review,3,
learn,Learn,neziʼ,body,beginner,True,simple-eng-med.xlsx,Sheet1,654,needs_review,1,
mouth,MOUTH,NTSHU,body,beginner,True,simple-eng-med.xlsx,Sheet1,273,needs_review,1,
move_ahead,Move ahead,Nèn mbwè,body,beginner,True,simple-eng-med.xlsx,Sheet1,630,needs_review,2,
my_belly_hurts,My belly hurts,Bàm sam tshwèt nja,body,beginner,True,simple-eng-med.xlsx,Sheet1,526,needs_review,3,
put_your_hand_here,Put your hand here,Yab bu u zenni,body,beginner,True,simple-eng-med.xlsx,Sheet1,723,needs_review,4,
remove_your_hand,Remove your hand,Le' bu u,body,beginner,True,simple-eng-med.xlsx,Sheet1,8,needs_review,3,
search,search,Diag,body,beginner,True,simple-eng-med.xlsx,Sheet1,528,needs_review,1,
search_for_your_shoes,Search for your shoes,Diag nketo'o mi,body,beginner,True,simple-eng-med.xlsx,Sheet1,556,needs_review,4,
searching,searching,Nè diag,body,beginner,True,simple-eng-med.xlsx,Sheet1,527,needs_review,1,
show_your_hand,Show your hand,Là'te bu u,body,beginner,True,simple-eng-med.xlsx,Sheet1,724,needs_review,3,
stretch_your_hand,Stretch your hand,Nyi d bu u,body,beginner,True,simple-eng-med.xlsx,Sheet1,725,needs_review,3,
take_off_your_hand,Take off your hand,Le' bu u,body,beginner,True,simple-eng-med.xlsx,Sheet1,722,needs_review,4,
the_chest,The chest,Ndântu,body,beginner,True,simple-eng-med.xlsx,Sheet1,491,needs_review,2,
the_eyes,The eyes,Miag,body,beginner,True,simple-eng-med.xlsx,Sheet1,271,needs_review,2,
the_legs,The legs,kù,body,beginner,True,simple-eng-med.xlsx,Sheet1,276,needs_review,2,
the_mouth,The mouth,ntshu,body,beginner,True,simple-eng-med.xlsx,Sheet1,274,needs_review,2,
the_tongue,The tongue,Lem,body,beginner,True,simple-eng-med.xlsx,Sheet1,275,needs_review,2,
there_he_is_near_you,There he is near you,A la,body,beginner,True,simple-eng-med.xlsx,Sheet1,540,needs_review,5,
there_near_you,There near you,Zenna,body,beginner,True,simple-eng-med.xlsx,Sheet1,482,needs_review,3,
there_near_you,There near you,Nza,body,beginner,True,simple-eng-med.xlsx,Sheet1,483,needs_review,3,
wash_your_hand,Wash your hand,Sôg bu u,body,beginner,True,simple-eng-med.xlsx,Sheet1,641,needs_review,3,
wash_your_hands,Wash your hands,Sôg bu mu,body,beginner,True,simple-eng-med.xlsx,Sheet1,640,needs_review,3,
we_walk_with_legs,We walk with legs,Bo ke zin â bo nkù,body,beginner,True,simple-eng-med.xlsx,Sheet1,624,needs_review,4,
wear_a_garment,Wear a garment,Nè ma ' nzwe,body,beginner,True,simple-eng-med.xlsx,Sheet1,661,needs_review,3,
wear_an_outfit,Wear an outfit,Ma ' nzwe,body,beginner,True,simple-eng-med.xlsx,Sheet1,662,needs_review,3,
wear_the_shoes,Wear the shoes,So nketo'o,body,beginner,True,simple-eng-med.xlsx,Sheet1,664,needs_review,3,
wear_your_outfit,Wear your outfit,Ma ' nzwê ù,body,beginner,True,simple-eng-med.xlsx,Sheet1,663,needs_review,3,
wear_your_shoes,Wear your shoes,So nketo'o mu,body,beginner,True,simple-eng-med.xlsx,Sheet1,665,needs_review,3,
with_the_mouth,With the mouth,Bo ntshu,body,beginner,True,simple-eng-med.xlsx,Sheet1,623,needs_review,3,
your_eye,Your eye,Lâg su,body,beginner,True,simple-eng-med.xlsx,Sheet1,637,needs_review,2,
your_eyes,Your eyes,Miag mu,body,beginner,True,simple-eng-med.xlsx,Sheet1,638,needs_review,2,
a_little,A little,Metsit,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,382,needs_review,2,
a_little_bit,A little bit,Metsili,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,228,needs_review,3,
a_lot,A lot,Yàme,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,229,needs_review,2,
a_lot,A lot,Neshu,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,383,needs_review,2,
cloth,Cloth,Nzwe,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,286,needs_review,1,
exactly,Exactly,Kua' yi la,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,441,needs_review,1,
he_is_very_short,He is very short,A vôg ta',descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,714,needs_review,4,
he_is_very_short,He is very short,A vôg neshu,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,715,needs_review,4,
it_is_a_lie,It is a lie,A bʼa tatte,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,380,needs_review,4,
it_is_enough,It is enough,À ku'u,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,547,needs_review,3,
it_is_enough_like_that,It is enough like that,A kù ' ndulâ,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,756,needs_review,5,
it_is_much,It is much,A ya' nka',descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,384,needs_review,3,
it_is_not_enough,It is not enough,A kag,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,548,needs_review,4,
it_is_not_true,It is not true,A ke nenùn,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,377,needs_review,4,
it_is_not_true,It is not true,A keʼ bʼà nenùn,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,378,needs_review,4,
it_is_not_true,It is not true,A bʼa tatte,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,379,needs_review,4,
it_is_small,It is small,A kag neshu,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,258,needs_review,3,
it_is_small,It is small,A kag,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,386,needs_review,3,
it_is_too_much,It is too much,A gha' mbu,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,230,needs_review,4,
it_is_too_much,It is too much,A ya' nka',descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,231,needs_review,4,
it_is_too_much,It is too much,A yàm,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,232,needs_review,4,
it_is_true,It is true,A nenùn,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,375,needs_review,3,
it_is_true,It is true,A bèn mbʼà nenùn,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,376,needs_review,3,
it_s_long,It's long,A sàg,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,712,needs_review,2,
it_s_short,It's short,vôg,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,713,needs_review,2,
small,Small,Kag,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,385,needs_review,1,
so_much,So much,Ta',descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,550,needs_review,2,
that_rope_is_too_long,That rope is too long,Nkù là sag neshu,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,259,needs_review,5,
that_s_right,That's right,A kua' yi la,descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,440,needs_review,2,
too_much,Too much,Ta',descriptions_quantity,beginner_plus,True,simple-eng-med.xlsx,Sheet1,549,needs_review,2,
a_boy,A boy,Men mandum,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,305,needs_review,2,
a_girl,A girl,Men mennzwi,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,306,needs_review,2,
a_woman,A woman,mènnzwi,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,310,needs_review,2,
children_should_obey_their_parents,Children should obey their parents.,Bônkeʼ ghù ne njuʼ ntshu tà tshob mba mà tshobe.,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,153,needs_review,5,
father,Father,Tà,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,299,needs_review,1,
give_to_your_brother,Give to your brother,Fâ mfêl o,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,508,needs_review,4,
husband,Husband,Bandum,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,309,needs_review,1,
in_the_name_of_the_father,In the name of the father,Num lén tà,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,505,needs_review,6,
mother,mother,mà,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,260,needs_review,1,
my_brother,My brother,Mfêlàm,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,301,needs_review,2,
my_brother,My brother,Mfêlàm mzè mandum,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,302,needs_review,2,
my_father,My father,Tà a,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,300,needs_review,2,
my_mother,My mother,mà a,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,261,needs_review,2,
my_sister,My sister,Mfêlàm,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,303,needs_review,2,
my_sister,My sister,Mfêlàm mzè mennzwi,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,304,needs_review,2,
please_mother,Please mother,Netshoʼo mà,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,381,needs_review,2,
please_my_brother,Please my brother,Netshoʼo mfelàm,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,389,needs_review,3,
please_my_sister,Please my sister,Netshoʼo mfelàm,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,390,needs_review,3,
the_child,The child,Men,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,506,needs_review,2,
the_child_is_sick,The child is sick,Mén tshwèt ngokèt,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,699,needs_review,4,
where_is_your_dad,Where is your Dad?,Tàan ya?,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,451,needs_review,4,
where_is_your_father,Where is your father?,Tàan ya?,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,452,needs_review,4,
wife,Wife,Bènnzwi,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,312,needs_review,1,
woman,Woman,Mènnzwi,family_people,beginner,True,simple-eng-med.xlsx,Sheet1,311,needs_review,1,
be_happy,Be happy,Tsiañde,feelings,beginner_plus,True,simple-eng-med.xlsx,Sheet1,409,needs_review,2,
be_mad,Be mad,Yantu,feelings,beginner_plus,True,simple-eng-med.xlsx,Sheet1,406,needs_review,2,
cry,Cry,Kuà'a,feelings,beginner_plus,True,simple-eng-med.xlsx,Sheet1,295,needs_review,1,
get_mad,Get mad,Yantu,feelings,beginner_plus,True,simple-eng-med.xlsx,Sheet1,408,needs_review,2,
i_am_happy,I am happy,Nu bwo am,feelings,beginner_plus,True,simple-eng-med.xlsx,Sheet1,410,needs_review,3,
i_am_happy,I am happy,Me Tsiañde,feelings,beginner_plus,True,simple-eng-med.xlsx,Sheet1,411,needs_review,3,
i_feel_sorry_for_you,I feel sorry for you,Mbam mba,feelings,beginner_plus,True,simple-eng-med.xlsx,Sheet1,521,needs_review,5,
i_love_you,I love you,Mè kô o,feelings,beginner_plus,True,simple-eng-med.xlsx,Sheet1,497,needs_review,3,
i_love_you_so_much,I love you so much,Me kô o ta,feelings,beginner_plus,True,simple-eng-med.xlsx,Sheet1,696,needs_review,5,
laugh,Laugh,Zwi,feelings,beginner_plus,True,simple-eng-med.xlsx,Sheet1,294,needs_review,1,
love,Love,Nkôni,feelings,beginner_plus,True,simple-eng-med.xlsx,Sheet1,496,needs_review,1,
show_love,Show love.,Kô tsemoʼ benntùn.,feelings,beginner_plus,True,simple-eng-med.xlsx,Sheet1,176,needs_review,2,
you_are_crying,You are crying,O tshwèt nkuâ'a,feelings,beginner_plus,True,simple-eng-med.xlsx,Sheet1,435,needs_review,3,
you_are_laughing,You are laughing,O tshwèt nzwi,feelings,beginner_plus,True,simple-eng-med.xlsx,Sheet1,434,needs_review,3,
are_you_hungry,Are you hungry?,Nzikû' ya o ke?,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,702,needs_review,3,
breathe,Breathe,Zwiage,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,620,needs_review,1,
chilli_pepper,Chilli pepper,Sôg neta,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,582,needs_review,2,
chilli_pepper,Chilli pepper,Sà to,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,583,needs_review,2,
don_t_finish_food,Don't finish food,Kâ miagde tshañ,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,647,needs_review,3,
don_t_finish_your_food,Don't finish your food,Kâ miagde tshañ su,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,648,needs_review,4,
drink,Drink,Nu,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,313,needs_review,1,
drink_water,Drink water,Nu ntse,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,288,needs_review,2,
eat,Eat,Jù,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,314,needs_review,1,
eat,Eat,Jujù,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,695,needs_review,1,
eat_meat,Eat meat,Fed mbàb,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,493,needs_review,2,
food_is_finish,Food is finish,Tshañ mi,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,645,needs_review,3,
have_a_seat,Have a seat,Tswe nsi,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,343,needs_review,3,
have_a_seat_please,Have a seat please,Tswe nsi netsho'o,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,227,needs_review,4,
have_you_eaten,Have you eaten?,O ya njù tshañ yi?,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,477,needs_review,3,
have_you_eaten,Have you eaten?,O njù tshañ yi?,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,478,needs_review,3,
hunger,Hunger,Nziku'u,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,688,needs_review,1,
i_am_eating,I am eating,Mé ju â ju,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,425,needs_review,3,
i_am_hungry,I am hungry,Nziku' tshwèt nja àm,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,687,needs_review,3,
i_will_drink_water,I will drink water,Mè à nu ntse,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,479,needs_review,4,
i_will_eat,I will eat,Mè à ju ju,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,476,needs_review,3,
meat,Meat,Mbàb,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,492,needs_review,1,
plantain,Plantain,Kè lo,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,494,needs_review,1,
repeat_please,"Repeat, please","Bwogte, Netshoʼo",food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,753,needs_review,2,
rice,Rice,Nkun,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,580,needs_review,1,
rice,Rice,Nkûn mè kale,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,581,needs_review,1,
spices,Spices,Oûsog,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,584,needs_review,1,
the_dog_ate_meat,The dog ate meat,Mbù fèt mbàb,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,765,needs_review,4,
the_dog_ate_meat_everyday,The dog ate meat everyday,Mbù nâ' ke mfèt mbàb njo,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,768,needs_review,5,
the_dog_ate_meat_yesterday,The dog ate meat yesterday,Mbù fèt mbàb nkog,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,766,needs_review,5,
the_dog_eats_meat,The dog eats meat,Mbù num mfèt mbàb,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,763,needs_review,4,
the_dog_is_eating_meat,The dog is eating meat,Mbù tshwèt mfèt mbàb,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,764,needs_review,5,
the_dog_will_eat_meat,The dog will eat meat,Mbù à' mfèt mbàb,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,769,needs_review,5,
the_sauce,The sauce,Soge,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,578,needs_review,2,
the_sauce,The sauce,Nya'a,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,579,needs_review,2,
water,Water,Ntse,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,287,needs_review,1,
water_is_finish,Water is finish,Ntse mi,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,644,needs_review,3,
what_do_we_breathe_with,What do we breathe with?,Bo ke nzwiâg a bo ke?,food_drink,beginner,True,simple-eng-med.xlsx,Sheet1,621,needs_review,5,
everyone,Everyone,Njoñ benntùn fa,general,review,True,simple-eng-med.xlsx,Sheet1,5,needs_review,1,
good_morning,Good morning,O zi à,greetings_politeness,beginner,True,simple-eng-med.xlsx,Sheet1,575,needs_review,2,
good_night,Good night,Zi mè bwo,greetings_politeness,beginner,True,simple-eng-med.xlsx,Sheet1,685,needs_review,2,
hello,Hello,O zi à,greetings_politeness,beginner,True,simple-eng-med.xlsx,Sheet1,574,needs_review,1,
how_are_you,How are you?,A ndû ke?,greetings_politeness,beginner,True,simple-eng-med.xlsx,Sheet1,576,needs_review,3,
please,Please,Netshoʼo,greetings_politeness,beginner,True,simple-eng-med.xlsx,Sheet1,336,needs_review,1,
sleep_tight,sleep tight,Zi mè bwo,greetings_politeness,beginner,True,simple-eng-med.xlsx,Sheet1,686,needs_review,2,
thank_you,Thank you,Me labte,greetings_politeness,beginner,True,simple-eng-med.xlsx,Sheet1,443,needs_review,2,
thank_you,Thank you,Me bam,greetings_politeness,beginner,True,simple-eng-med.xlsx,Sheet1,563,needs_review,2,
welcome,Welcome,Seʼ mebwô,greetings_politeness,beginner,True,simple-eng-med.xlsx,Sheet1,462,needs_review,1,
welcome,Welcome,Seʼ mebwô,greetings_politeness,beginner,True,simple-eng-med.xlsx,Sheet1,761,needs_review,1,
well_done,Well done,A bwô,greetings_politeness,beginner,True,simple-eng-med.xlsx,Sheet1,235,needs_review,2,
well_done,Well done,O ghù a bwô,greetings_politeness,beginner,True,simple-eng-med.xlsx,Sheet1,236,needs_review,2,
well_done,Well done,A be mebwô,greetings_politeness,beginner,True,simple-eng-med.xlsx,Sheet1,237,needs_review,2,
you_are_welcome,You are welcome,Seʼ mebwô,greetings_politeness,beginner,True,simple-eng-med.xlsx,Sheet1,463,needs_review,3,
being_sick,Being sick,Nè ngokèt,health_hygiene,beginner_plus,True,simple-eng-med.xlsx,Sheet1,697,needs_review,2,
brushing_your_teeth,Brushing your teeth,Nè cu ' ncù,health_hygiene,beginner_plus,True,simple-eng-med.xlsx,Sheet1,473,needs_review,3,
go_brush_your_teeth,Go brush your teeth,Nèn ncû' ncù u,health_hygiene,beginner_plus,True,simple-eng-med.xlsx,Sheet1,474,needs_review,4,
go_wash_yourself,Go wash yourself,Nesôg wûl u,health_hygiene,beginner_plus,True,simple-eng-med.xlsx,Sheet1,471,needs_review,3,
